Code;Description;Transaction Category Code;MCC Category
"3519";Pullman International Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3520";Meridien Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3521";Royal Lahaina Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3522";Tokyo Group;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3523";Peninsula Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3524";WelcomGroup Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3525";Dunfey Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3526";Prince Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3527";Downtowner Passport;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3528";Red Lion Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3529";CP (Canadian Pacific);Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3530";Renaissance Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3531";Kauai Coconut Beach Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3532";Royal Kona Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3533";Hotel Ibis;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3534";Southern Pacific;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3535";Hilton International;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3536";AMFAC Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3537";ANA Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3538";Concorde Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3539";Summerfield Suites Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3540";Iberotel Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3541";Hotel Okura;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3542";Royal Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3543";Four Seasons;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3544";Cigna Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3545";Shangri-La International;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3546";Hotel Sierra;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3547";Breakers Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3548";Hotels Melia;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3549";Auberge des Governeurs;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3550";Regal 8 Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3551";Mirage Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3552";Coast Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3553";Park Inns International;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3554";Pinehurst Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3555";Treasure Island Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3556";Barton Creek Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3557";Manhattan East Suite Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3558";Jolly Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3559";Candlewood Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3560";Aladdin Resort and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3561";Golden Nugget;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3562";Comfort Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3563";Journey’s End Motels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3564";Sam’s Town Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3565";Relax Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3566";Garden Place Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3567";Soho Grand Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3568";Ladbroke Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3569";Tribeca Grand Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3570";Forum Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3571";Grand Wailea Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3572";Miyako Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3573";Sandman Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3574";Venture Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3575";Vagabond Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3576";La Quinta Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3577";Mandarin Oriental Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3578";Frankenmuth Bavarian;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3579";Hotel Mercure;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3580";Hotel Del Coronado;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3581";Delta Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3582";California Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3583";SAS Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3584";Princess Hotels International;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3585";Hungar Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3586";Sokos Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3587";Doral Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3588";Helmsley Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3589";Doral Golf Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3590";Fairmont Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3591";Sonesta Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3592";Omni Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3593";Cunard Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3594";Arizona Biltmore;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3595";Hospitality Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3596";Wynn Las Vegas;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3597";Riverside Resort and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3598";Regent International Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3599";Pannonia Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3600";Saddlebrook Resort — Tampa;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3601";Trade Winds Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3602";Hudson Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3603";Noah’s Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3604";Hilton Garden Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3605";Jurys Doyle Hotel Group;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3606";Jefferson Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3607";Fountainebleau Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3608";Gaylord Opryland;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3609";Gaylord Palms;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3610";Gaylord Texan;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3611";C MON INN;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3612";Movenpick Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3613";Microtel Inns & Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3614";Americinn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3615";Travelodge Motels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3616";Hermitage Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3617";America’s Best Value Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3618";Great Wolf;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3619";Aloft;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3620";Binion’s Horseshoe Club;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3621";Extended Stay;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3622";Merlin Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3623";Dorint Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3624";Lady Luck Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3625";Hotel Universale;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3626";Studio Plus;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3627";Extended Stay America;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3628";Excalibur Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3629";Dan Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
