Code;Description;Transaction Category Code;MCC Category
"3773";The Venetian Resort Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3774";New York — New York Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3775";Sands Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3776";Nevele Grande Resort and Country Club;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3777";Mandalay Bay Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3778";Four Points Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3779";W Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3780";Disney Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3781";Patricia Grand Resort Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3782";Rosen Hotels & Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3783";Town and Country Resort and Convention Center;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3784";First Hospitality Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3785";Outrigger Hotels and Resorts;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3786";Ohana Hotel of Hawaii;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3787";Caribe Royale Resort Suites & Villas;Hotel/Motel;Lodging — Hotels, Motels, Resorts
